Meter Consumption ID,Usage/Quantity,Cost ($),Start Date,End Date,Meter Name
2466047294,183,122.12,7/3/18,8/2/18,EL2
2467086585,295,100.82,8/2/18,8/31/18,EL2
2547736997,274,96.64,8/31/18,10/2/18,EL2
2602766944,192,64.17,10/2/18,10/31/18,EL2
2602840132,81,54.43,10/31/18,12/3/18,EL2
2602989399,58,56.08,12/3/18,1/3/19,EL2
2662474043,46,44.14,1/3/19,2/1/19,EL2
2742649286,44,44.74,2/1/19,3/5/19,EL2
2938118065,30,80.53,3/6/19,5/3/19,EL2
3077567305,19,39.2,5/4/19,6/4/19,EL2
3077648600,518,137.64,6/5/19,7/3/19,EL2
3113804615,94,47.25,7/4/19,8/2/19,EL2
3187404798,321,92.44,8/3/19,9/3/19,EL2
3289408298,268,81.35,9/4/19,10/1/19,EL2
3363398999,218,70.1,10/2/19,11/20/19,EL2
3428288338,52,46.99,11/21/19,1/3/20,EL2
3697949251,27,39.42,1/4/20,2/3/20,EL2
4608736133,5,84.45,2/3/20,4/2/20,EL2
4608841154,68,49.47,4/2/20,5/4/20,EL2
4609085539,18,44.8,5/4/20,6/3/20,EL2
4609113608,518,154.08,6/3/20,7/2/20,EL2
4610716064,107,71.77,7/2/20,8/3/20,EL2
4611158161,291,106.9,8/3/20,9/1/20,EL2
4611262327,287,105.79,9/1/20,10/1/20,EL2
4611450129,200,69.15,10/1/20,10/30/20,EL2
4611573305,183,66.62,10/30/20,12/2/20,EL2
4611765265,145,64.01,12/2/20,1/4/21,EL2
4622125136,108,60.03,1/4/21,2/2/21,EL2
2458142777,86,23.25,12/1/16,1/3/17,EL3
2458143282,217,36.79,1/3/17,2/1/17,EL3
2458148021,148,28.1,2/1/17,3/3/17,EL3
2458155689,316,49.48,3/3/17,4/3/17,EL3
2464653405,162,30.52,4/3/17,5/3/17,EL3
2465381043,25,13.54,5/3/17,6/2/17,EL3
2465381088,20,10.99,6/2/17,7/3/17,EL3
2465397841,205,50.6,7/3/17,8/2/17,EL3
2465456548,184,43.76,8/2/17,8/31/17,EL3
2465531120,72,21.08,8/31/17,10/2/17,EL3
2465541169,476,55.86,10/2/17,10/31/17,EL3
2465549602,42,11.57,10/31/17,12/1/17,EL3
2465557367,149,26.1,12/1/17,1/3/18,EL3
2465680874,87,32.52,1/3/18,2/1/18,EL3
2465687232,1,14.85,2/1/18,3/5/18,EL3
2465772403,158,33.83,3/5/18,4/5/18,EL3
2465801872,211,39.37,4/5/18,5/3/18,EL3
2465825936,115,30.02,5/3/18,6/4/18,EL3
2465837798,19,24.27,6/4/18,7/3/18,EL3
2466046809,79,36.1,7/3/18,8/2/18,EL3
2467087317,23,24.43,8/2/18,8/31/18,EL3
2547740035,54,30.95,9/1/18,10/2/18,EL3
2602770249,139,35.12,10/2/18,10/31/18,EL3
2602842576,22,24.09,10/31/18,12/3/18,EL3
2602991797,2,23.15,12/3/18,1/3/19,EL3
2742663099,90,42.1,1/4/19,3/5/19,EL3
2801033853,240,43.67,3/6/19,4/2/19,EL3
2894153991,12,16.71,4/3/19,5/3/19,EL3
3077568202,75,24.42,5/4/19,6/4/19,EL3
3077661605,3,21.38,6/5/19,8/2/19,EL3
3187405922,0,10.33,8/3/19,9/3/19,EL3
3289408555,18,14.17,9/4/19,10/1/19,EL3
3363399028,141,25.32,10/2/19,10/31/19,EL3
3428290395,75,18.38,11/1/19,12/3/19,EL3
3697901114,265,39.29,12/4/19,1/3/20,EL3
3697949700,41,11.91,1/4/20,2/3/20,EL3
3890603129,108,20.18,2/4/20,3/4/20,EL3
4608744852,6,8.2,3/4/20,4/2/20,EL3
4608841538,24,9.92,4/2/20,5/4/20,EL3
4609085821,9,8.15,5/4/20,6/3/20,EL3
4609114591,1,5.6,6/3/20,7/2/20,EL3
4610718199,380,83.65,7/2/20,8/3/20,EL3
4611164979,486,102.37,8/3/20,9/1/20,EL3
4611264503,19,9.38,9/1/20,10/1/20,EL3
4611452198,26,8.26,10/1/20,10/30/20,EL3
4611586507,297,33.84,10/30/20,12/2/20,EL3
4611767768,16,9.87,12/2/20,1/4/21,EL3
4622125645,103,37.43,1/4/21,2/2/21,EL3
2457982735,872,133.98,12/2/16,1/3/17,EL4
2458114948,751,128.26,1/4/17,2/1/17,EL4
2458148683,714,123.68,2/2/17,3/3/17,EL4
2458155153,662,123.14,3/4/17,4/3/17,EL4
2464653350,564,116.33,4/4/17,5/3/17,EL4
2465374727,506,114.1,5/4/17,6/2/17,EL4
2465374810,491,108.56,6/3/17,7/3/17,EL4
2465399243,493,108.72,7/4/17,8/2/17,EL4
2465453035,525,107.69,8/3/17,8/31/17,EL4
2465528347,664,117.5,9/1/17,10/2/17,EL4
2465539245,668,114.69,10/3/17,10/31/17,EL4
2465549422,784,133.06,11/1/17,12/1/17,EL4
2465556215,872,147.8,12/2/17,1/3/18,EL4
2465680722,751,135.39,1/4/18,2/1/18,EL4
2465684701,757,136.8,2/2/18,3/5/18,EL4
2465773397,638,123.07,3/6/18,4/4/18,EL4
2465806599,545,110.91,4/4/18,5/3/18,EL4
2465835781,538,114.14,5/4/18,6/4/18,EL4
2465837899,459,101.19,6/5/18,7/3/18,EL4
2465999399,493,102.45,7/4/18,8/2/18,EL4
2467087564,525,102.42,8/3/18,8/31/18,EL4
2547743167,664,108.79,9/1/18,10/2/18,EL4
2602778588,668,109.26,10/2/18,10/31/18,EL4
2602853644,837,122.37,11/1/18,12/3/18,EL4
2602997490,819,127.77,12/4/18,1/3/19,EL4
2662486980,751,124.21,1/4/19,2/1/19,EL4
2742679357,757,132.56,2/2/19,3/5/19,EL4
2801034716,619,117.14,3/6/19,4/3/19,EL4
2894155317,564,117.15,4/4/19,5/3/19,EL4
3077570147,538,117.26,5/4/19,6/4/19,EL4
3077685313,459,106.88,6/5/19,7/3/19,EL4
3113805652,493,109.74,7/4/19,8/2/19,EL4
3187408905,587,111.89,8/3/19,9/3/19,EL4
3289409988,602,111.05,9/4/19,10/2/19,EL4
3363400016,668,119.29,10/3/19,10/31/19,EL4
3428297089,837,128.4,11/1/19,12/3/19,EL4
3697905206,819,131.72,12/4/19,1/3/20,EL4
3697987157,799,135.61,1/4/20,2/3/20,EL4
3890641526,711,130.9,2/4/20,3/4/20,EL4
4608750744,621,128.02,3/5/20,4/2/20,EL4
4608844495,600,120.88,4/3/20,5/4/20,EL4
4609088513,505,110.68,5/5/20,6/3/20,EL4
4609118010,459,105.29,6/3/20,7/2/20,EL4
4610722700,528,111.84,7/3/20,8/3/20,EL4
4611174059,528,107.96,8/4/20,9/1/20,EL4
4611274826,620,111.81,9/2/20,10/1/20,EL4
4611500301,90.71,114.81,10/2/20,10/30/20,EL4
4611596264,834,121.22,10/31/20,12/2/20,EL4
4611778311,872,135.64,12/3/20,1/4/21,EL4
4622127441,749,131.34,1/5/21,2/2/21,EL4
2458004091,0,4.25,12/1/16,1/3/17,EL5
2458122837,0,4.25,1/3/17,2/1/17,EL5
2458149766,6,4.72,2/1/17,3/3/17,EL5
2458154945,0,4.25,3/3/17,4/3/17,EL5
2464653308,0,4.25,4/3/17,5/3/17,EL5
2464664447,0,4.25,5/3/17,6/2/17,EL5
2465435193,0,4.25,6/2/17,7/3/17,EL5
2465435371,0,4.25,7/3/17,8/2/17,EL5
2465450973,0,4.25,8/2/17,8/31/17,EL5
2465486528,0,4.25,8/31/17,10/2/17,EL5
2465539058,0,4.25,10/2/17,10/31/17,EL5
